Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
247,Cyfuture Noida Data Center,Cyfuture Data Center,https://cyfuture.com,"Cyfuture Data Center
G-13/14, SDF Block, Noida Special Economy Zone, Block A, Phase-2
201305 Noida
Uttar Pradesh, India",201305,Noida,Noida,Uttar Pradesh,India,3,Not Specified,Not Specified
248,DC10G,DC10G- Data Center,https://www.dc10g.com,"DC10G- Data Center
G-232, Sector-63
2nd floor
201301 Noida
Uttar Pradesh, India",201301,Noida,Noida,Uttar Pradesh,India,Not Specified,Not Specified,Not Specified
249,Dbyte 135 EDC,Dbyte Facility Network Private Limited,https://www.dbytefacility.com,"Dbyte Facility Network Private Limited
plot no wa-14, village- nagli wazidpur,
sector-135, noida, gautambuddha nagar
201305 Noida
Uttar Pradesh, India",201305,Noida,Noida,Uttar Pradesh,India,Not Specified,Not Specified,Not Specified
250,GDC - Noida 1 Data Center,NTT DATA  Inc.,https://services.global.ntt,"NTT DATA, Inc.
H223, Sector 63
201301 Uttar Pradesh
India",201301,Noida,Noida,Uttar Pradesh,India,1.5,Not Specified,1800 sq. m.
251,GDC - Noida 2 Data Center,NTT DATA  Inc.,https://services.global.ntt,"NTT DATA, Inc.
Plot no. 18, Tech Zone IV, Amrapali Dream Valley
201009 Noida
India",201009,Noida,Noida,Uttar Pradesh,India,52.8,Tier 3,27871 sq. ft.
252,Go4Hosting Noida,Go4Hosting,https://go4hosting.in,"Go4Hosting
Plot No. 197-198, Noida Special Economic Zone (NSEZ) Phase II
201305 Noida
Uttar Pradesh, India",201305,Noida,Noida,Uttar Pradesh,India,Not Specified,Tier 3,Not Specified
253,Nxtra Noida I,Nxtra by Airtel,https://www.nxtra.in/,"Nxtra by Airtel
A-14, Dhama Marg, Industrial Area, Sector 62
201309 Noida
India",201309,Noida,Noida,Uttar Pradesh,India,4,Not Specified,Not Specified
254,Nxtra Noida II,Nxtra by Airtel,https://www.nxtra.in/,"Nxtra by Airtel
B-192, Sector 81
201305 Noida
India",201305,Noida,Noida,Uttar Pradesh,India,6,Not Specified,Not Specified
255,Nxtra Noida III,Nxtra by Airtel,https://www.nxtra.in/,"Nxtra by Airtel
within Noida
201305 Noida
India",201305,Noida,Noida,Uttar Pradesh,India,40,Not Specified,41806 sq. m.
256,RailTel Silver Jubilee Data Center,RailTel Corporation of India Ltd.,https://www.railtel.in,"RailTel Corporation of India Ltd.
Plot No. B-209, Block B, Phase-2
201305 Noida
India",201305,Noida,Noida,Uttar Pradesh,India,10,Not Specified,17000 sq. m.
257,SOLOIDC Noida DC,SOLOIDC Technologies Pvt Ltd,https://soloidc.com,"SOLOIDC Technologies Pvt Ltd
Trimala Ventures, A37, A Block,
Sector 63, Noida, Uttar Pradesh 201301
201301 Noida",201301,Noida,Noida,Uttar Pradesh,India,4,Not Specified,4800 sq. m.
